yr,school_name,conf_abbr,wins,losses,ties,win_loss_pct,wins_conf,losses_conf,ties_conf,win_loss_pct_conf,points_per_g,opp_points_per_g,confname
2018,Pittsburgh,ACC (Coastal),7,7,NULL,0.5,6,2,NULL,0.75,25.6,27.8,ACC
1880,Yale,Ind,4,0,1,0.9,0,0,0,0,6,0,Ind
1880,Pennsylvania,Ind,3,2,0,0.6,0,0,0,0,2.6,1.8,Ind
1880,Harvard,Ind,2,2,2,0.5,0,0,0,0,1,0.7,Ind
1880,Rutgers,Ind,2,2,0,0.5,0,0,0,0,1.5,3,Ind
1880,Columbia,Ind,1,2,0,0.333,0,0,0,0,1,5.3,Ind
1880,Stevens,Ind,1,5,0,0.167,0,0,0,0,0.5,3.3,Ind
1880,Brown,Ind,0,1,0,0,0,0,0,0,0,8,Ind
1881,Yale,Ind,5,0,1,0.917,0,0,0,0,1.7,0,Ind
1881,Harvard,Ind,6,1,1,0.813,0,0,0,0,2.1,0.3,Ind
1881,Princeton,Ind,7,0,2,0.889,0,0,0,0,2.7,0,Ind
1881,Dartmouth,Ind,1,0,1,0.75,0,0,0,0,0.5,0,Ind
1881,Columbia,Ind,3,3,1,0.5,0,0,0,0,0.9,0.6,Ind
1881,Rutgers,Ind,2,4,1,0.357,0,0,0,0,1.7,1,Ind
1881,Stevens,Ind,1,2,1,0.375,0,0,0,0,1,3,Ind
1881,Amherst,Ind,0,3,1,0.125,0,0,0,0,0,1.8,Ind
1881,Michigan,Ind,0,3,0,0,0,0,0,0,0,1.3,Ind
1881,Pennsylvania,Ind,0,5,0,0,0,0,0,0,0.2,3.4,Ind
1882,Yale,Ind,8,0,0,1,0,0,0,0,6.5,0.1,Ind
1882,Harvard,Ind,7,1,0,0.875,0,0,0,0,2.4,0.3,Ind
1882,Princeton,Ind,7,2,0,0.778,0,0,0,0,5,0.4,Ind
1882,Wesleyan (CT),Ind,3,1,0,0.75,0,0,0,0,3.8,2.3,Ind
