Wisconsin-Beater,Losses,Total Description,Avg Description
BYU,1,201,201
Colorado,2,0,0
Illinois,4,284,71
Indiana,5,324,64.8
Iowa,5,778,155.6
Kansas,2,0,0
LSU,2,402,201
Michigan,8,3532,441.5
Michigan State,5,112,22.4
Minnesota,6,716,119.33
Missouri,1,0,0
Nebraska,1,0,0
Northwestern,1,0,0
Ohio State,10,436,43.6
Purdue,7,802,114.57
San Diego State,1,0,0
UCLA,2,300,150
