Team,First Year
Wisconsin,1981
Rutgers,1984
Michigan State,1986
Maryland,1987
Minnesota,1993
Indiana,1993
Ohio State,1993
Penn State,1994
Michigan,1994
Northwestern,1994
Nebraska,1994
Illinois,1997
Purdue,1998
